date,state,fips,cases,deaths
2021-07-01,Alabama,1,550983,11352
2021-07-01,Alaska,2,70669,360
2021-07-01,Arizona,4,895347,17939
2021-07-01,Arkansas,5,350085,5909
2021-07-01,California,6,3866606,63709
2021-07-01,Colorado,8,561460,6952
2021-07-01,Connecticut,9,349387,8279
2021-07-01,Delaware,10,109770,1694
2021-07-01,District of Columbia,11,49362,1141
2021-07-01,Florida,12,2331916,37913
2021-07-01,Georgia,13,1110606,20734
2021-07-01,Guam,66,9335,141
2021-07-01,Hawaii,15,36435,515
2021-07-01,Idaho,16,195166,2156
2021-07-01,Illinois,17,1396270,25687
2021-07-01,Indiana,18,757671,13855
2021-07-01,Iowa,19,373960,6140
2021-07-01,Kansas,20,319626,5189
2021-07-01,Kentucky,21,466106,7269
2021-07-01,Louisiana,22,482035,10748
2021-07-01,Maine,23,69054,859
2021-07-01,Maryland,24,462571,9744
2021-07-01,Massachusetts,25,710049,17997
2021-07-01,Michigan,26,998847,20998
2021-07-01,Minnesota,27,605541,7692
2021-07-01,Mississippi,28,321944,7415
2021-07-01,Missouri,29,636120,9938
2021-07-01,Montana,30,113928,1666
2021-07-01,Nebraska,31,224802,2520
2021-07-01,Nevada,32,334255,5692
2021-07-01,New Hampshire,33,99527,1372
2021-07-01,New Jersey,34,1023613,26463
2021-07-01,New Mexico,35,205629,4345
2021-07-01,New York,36,2113544,53107
2021-07-01,North Carolina,37,1014967,13447
2021-07-01,North Dakota,38,110749,1559
2021-07-01,Northern Mariana Islands,69,183,2
2021-07-01,Ohio,39,1111903,20309
2021-07-01,Oklahoma,40,458150,7388
2021-07-01,Oregon,41,208900,2808
2021-07-01,Pennsylvania,42,1216965,27684
2021-07-01,Puerto Rico,72,173673,2549
2021-07-01,Rhode Island,44,152618,2730
2021-07-01,South Carolina,45,597021,9826
2021-07-01,South Dakota,46,124561,2038
2021-07-01,Tennessee,47,854430,12472
2021-07-01,Texas,48,2995274,52554
2021-07-01,Utah,49,415750,2375
2021-07-01,Vermont,50,24412,257
2021-07-01,Virgin Islands,78,3895,30
2021-07-01,Virginia,51,680564,11419
2021-07-01,Washington,53,454087,5992
2021-07-01,West Virginia,54,164097,2897
2021-07-01,Wisconsin,55,677952,8134
2021-07-01,Wyoming,56,62353,747
2021-07-02,Alabama,1,551298,11358
2021-07-02,Alaska,2,70774,360
2021-07-02,Arizona,4,895873,17961
2021-07-02,Arkansas,5,350579,5913
2021-07-02,California,6,3868398,63649
2021-07-02,Colorado,8,561922,6956
2021-07-02,Connecticut,9,349476,8279
2021-07-02,Delaware,10,109820,1695
2021-07-02,District of Columbia,11,49378,1141
2021-07-02,Florida,12,2337613,37985
2021-07-02,Georgia,13,1111032,20748
2021-07-02,Guam,66,9342,141
2021-07-02,Hawaii,15,36508,515
2021-07-02,Idaho,16,195249,2160
2021-07-02,Illinois,17,1396606,25696
2021-07-02,Indiana,18,758078,13863
2021-07-02,Iowa,19,374054,6142
2021-07-02,Kansas,20,319991,5192
2021-07-02,Kentucky,21,466278,7280
2021-07-02,Louisiana,22,482560,10757
2021-07-02,Maine,23,69069,860
2021-07-02,Maryland,24,462656,9746
2021-07-02,Massachusetts,25,710138,17998
2021-07-02,Michigan,26,998973,20995
2021-07-02,Minnesota,27,605642,7698
2021-07-02,Mississippi,28,322186,7419
2021-07-02,Missouri,29,637390,9953
2021-07-02,Montana,30,113981,1666
2021-07-02,Nebraska,31,224848,2520
2021-07-02,Nevada,32,334763,5697
2021-07-02,New Hampshire,33,99555,1372
2021-07-02,New Jersey,34,1023923,26468
2021-07-02,New Mexico,35,205715,4346
2021-07-02,New York,36,2114018,53109
2021-07-02,North Carolina,37,1015363,13447
2021-07-02,North Dakota,38,110760,1559
2021-07-02,Northern Mariana Islands,69,183,2
2021-07-02,Ohio,39,1112088,20344
2021-07-02,Oklahoma,40,458483,7388
2021-07-02,Oregon,41,209082,2811
2021-07-02,Pennsylvania,42,1217115,27692
2021-07-02,Puerto Rico,72,173721,2550
2021-07-02,Rhode Island,44,152643,2730
2021-07-02,South Carolina,45,597261,9830
2021-07-02,South Dakota,46,124582,2038
2021-07-02,Tennessee,47,854656,12483
2021-07-02,Texas,48,2997152,52597
2021-07-02,Utah,49,416181,2378
2021-07-02,Vermont,50,24419,258
2021-07-02,Virgin Islands,78,3895,30
2021-07-02,Virginia,51,680744,11423
2021-07-02,Washington,53,454484,5994
2021-07-02,West Virginia,54,164149,2899
2021-07-02,Wisconsin,55,678067,8135
2021-07-02,Wyoming,56,62445,747
2021-07-03,Alabama,1,551298,11358
2021-07-03,Alaska,2,70774,360
2021-07-03,Arizona,4,896518,17975
2021-07-03,Arkansas,5,350579,5913
2021-07-03,California,6,3868398,63648
2021-07-03,Colorado,8,562315,6967
2021-07-03,Connecticut,9,349476,8279
2021-07-03,Delaware,10,109846,1695
2021-07-03,District of Columbia,11,49378,1141
2021-07-03,Florida,12,2337613,37985
2021-07-03,Georgia,13,1111032,20748
2021-07-03,Guam,66,9342,141
2021-07-03,Hawaii,15,36552,515
2021-07-03,Idaho,16,195249,2160
2021-07-03,Illinois,17,1396606,25696
2021-07-03,Indiana,18,758078,13863
2021-07-03,Iowa,19,374120,6146
2021-07-03,Kansas,20,319991,5192
2021-07-03,Kentucky,21,466278,7280
2021-07-03,Louisiana,22,482560,10757
2021-07-03,Maine,23,69099,860
2021-07-03,Maryland,24,462752,9749
2021-07-03,Massachusetts,25,710138,17998
2021-07-03,Michigan,26,998973,20995
2021-07-03,Minnesota,27,605753,7703
2021-07-03,Mississippi,28,322186,7419
2021-07-03,Missouri,29,637613,9962
2021-07-03,Montana,30,113981,1666
2021-07-03,Nebraska,31,224848,2520
2021-07-03,Nevada,32,334763,5697
2021-07-03,New Hampshire,33,99555,1372
2021-07-03,New Jersey,34,1024113,26473
2021-07-03,New Mexico,35,205715,4346
2021-07-03,New York,36,2114297,53109
